N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"83,500","1,000",+1.21%,100,"4,984,768","5,969,783",54.94,"17,139,131",22.80,8.69,
2,SK하이닉스,"127,500","2,500",+2.00%,"5,000","928,203","728,002",49.96,"3,487,228",32.34,4.25,
3,LG화학,"1,028,000","28,000",+2.80%,"5,000","725,689","70,592",44.36,"520,635",96.05,1.84,
4,삼성전자우,"74,300",0,0.00%,100,"611,405","822,887",79.30,"1,754,685",20.29,N/A,
5,NAVER,"362,500","4,500",+1.26%,100,"595,455","164,263",57.06,"979,482",72.17,10.56,
6,삼성바이오로직스,"812,000","1,000",-0.12%,"2,500","537,260","66,165",10.37,"66,730",151.18,4.77,
7,현대차,"249,500","1,000",+0.40%,"5,000","533,102","213,668",31.12,"1,528,956",59.62,4.32,
8,삼성SDI,"775,000","28,000",+3.75%,"5,000","532,925","68,765",44.22,"460,345",264.41,2.94,
9,셀트리온,"341,500",0,0.00%,"1,000","461,018","134,998",21.25,"1,970,873",92.30,11.19,
10,기아차,"101,500","3,400",+3.47%,"5,000","411,444","405,363",34.70,"12,980,667",47.17,6.50,
11,카카오,"455,000",500,+0.11%,500,"402,952","88,561",33.65,"405,929",-504.99,-5.81,
12,현대모비스,"352,500","5,500",-1.54%,"5,000","335,068","95,055",41.06,"912,862",21.50,7.28,
13,SK이노베이션,"304,000","13,000",-4.10%,"5,000","281,095","92,466",23.37,"2,723,190",-11.56,-0.20,
14,LG전자,"158,000",500,+0.32%,"5,000","258,564","163,648",32.55,"1,894,799",34.32,0.22,
15,LG생활건강,"1,626,000","3,000",+0.18%,"5,000","253,952","15,618",46.00,"21,428",36.43,20.32,
16,삼성물산,"134,500","1,000",+0.75%,100,"251,363","186,887",14.78,"437,721",22.53,4.77,
17,POSCO,"263,000","1,500",-0.57%,"5,000","229,301","87,187",51.39,"237,585",24.09,4.18,
18,SK,"315,500","2,500",-0.79%,200,"221,987","70,360",21.40,"421,378","1,331.22",4.31,
19,엔씨소프트,"976,000","14,000",+1.46%,500,"214,271","21,954",50.26,"73,891",38.19,14.72,
20,SK텔레콤,"258,500","11,500",+4.66%,500,"208,728","80,746",35.13,"742,633",19.04,3.92,
21,KB금융,"44,350","2,300",+5.47%,"5,000","184,411","415,808",66.27,"3,551,296",5.41,8.92,
22,LG,"104,000","2,000",+1.96%,"5,000","179,459","172,557",34.87,"411,526",14.70,5.87,
23,신한지주,"31,800",450,+1.44%,"5,000","164,279","516,600",58.45,"3,019,571",4.56,9.09,
24,삼성전기,"207,500",0,0.00%,"5,000","154,989","74,694",35.11,"478,073",42.51,10.18,
25,한국전력,"23,550",100,-0.42%,"5,000","151,183","641,964",17.04,"2,108,778",163.54,-3.42,
26,삼성에스디에스,"194,500","2,500",+1.30%,500,"150,500","77,378",11.69,"144,706",28.71,11.76,
27,삼성생명,"71,800","1,100",+1.56%,500,"143,600","200,000",12.35,"324,221",14.42,3.26,
28,아모레퍼시픽,"227,000","4,500",-1.94%,500,"132,701","58,458",32.56,"311,921",364.95,5.36,
29,넷마블,"138,500",500,+0.36%,100,"118,941","85,878",24.23,"434,488",56.10,3.54,
30,SK바이오팜,"149,000",500,-0.33%,500,"116,687","78,313",4.66,"143,952",-135.45,-313.66,
31,KT&G,"80,000",100,-0.12%,"5,000","109,834","137,292",40.36,"525,781",11.16,12.39,
32,하나금융지주,"36,150","2,200",+6.48%,"5,000","108,538","300,242",67.10,"2,770,148",4.42,8.77,
33,포스코케미칼,"139,500","3,500",+2.57%,500,"108,061","77,463",7.48,"493,053",313.48,11.57,
34,한온시스템,"18,350",150,+0.82%,100,"97,952","533,800",20.10,"991,196",69.77,14.98,
35,롯데케미칼,"284,000","14,000",+5.19%,"5,000","97,342","34,275",26.22,"228,795",83.95,5.51,
36,한화솔루션,"54,200","3,600",+7.11%,"5,000","86,647","159,864",18.78,"4,360,094",-99.45,-4.02,
37,빅히트,"243,000","1,500",+0.62%,500,"86,566","35,624",9.31,"396,472",N/A,56.47,
38,금호석유,"276,500","23,500",+9.29%,"5,000","84,243","30,468",28.50,"1,861,075",23.66,11.84,
39,S-Oil,"74,600","1,000",+1.36%,"2,500","83,987","112,583",76.19,"610,863",-10.00,1.01,
40,LG디스플레이,"23,200",150,-0.64%,"5,000","83,013","357,816",24.04,"2,423,001",-3.38,-22.35,
41,현대글로비스,"221,000","3,000",-1.34%,500,"82,875","37,500",34.77,"596,218",12.42,11.25,
42,삼성화재,"168,000",500,+0.30%,500,"79,590","47,375",44.26,"137,449",12.28,4.85,
43,고려아연,"414,500","5,500",+1.34%,"5,000","78,216","18,870",22.83,"70,285",13.96,9.76,
44,한국조선해양,"98,200",800,+0.82%,"5,000","69,499","70,773",16.46,"223,874",325.17,1.40,
45,우리금융지주,"9,330",320,+3.55%,"5,000","67,388","722,268",25.02,"2,090,159",5.00,N/A,
46,CJ제일제당,"443,500","4,000",+0.91%,"5,000","66,765","15,054",24.70,"60,444",9.21,3.16,
47,미래에셋대우,"9,790",140,+1.45%,"5,000","63,176","645,316",14.82,"2,389,102",10.23,7.56,
48,KT,"24,050",0,0.00%,"5,000","62,797","261,112",43.87,"1,281,610",10.25,4.61,
49,기업은행,"8,230",120,+1.48%,"5,000","60,792","738,664",10.39,"1,539,427",4.20,7.36,
50,KODEX 200,"42,950",540,+1.27%,0,"60,538","140,950",7.72,"11,713,719",N/A,N/A,
51,한국타이어앤테크놀로지,"45,050","1,350",+3.09%,500,"55,806","123,875",40.75,"399,257",21.68,6.03,
52,LG유플러스,"12,700",50,-0.39%,"5,000","55,450","436,611",30.26,"3,945,699",7.00,6.30,
53,현대제철,"41,000",200,-0.49%,"5,000","54,713","133,446",19.34,"654,946",-22.21,0.10,
54,녹십자,"453,000","11,500",-2.48%,"5,000","52,940","11,687",21.31,"166,643",121.51,-0.35,
55,대한항공,"30,000",500,-1.64%,"5,000","52,263","174,210",11.85,"2,305,829",-8.82,-22.09,
56,코웨이,"70,100",500,+0.72%,500,"51,734","73,800",60.82,"284,919",14.49,30.74,
57,아모레G,"62,700","1,600",+2.62%,500,"51,701","82,458",19.97,"154,813",221.55,4.12,
58,한미사이언스,"76,800",300,-0.39%,500,"51,690","67,305",1.76,"139,092",349.09,4.73,
59,강원랜드,"23,900",100,+0.42%,500,"51,132","213,940",22.22,"490,116",-26.91,9.16,
60,LG이노텍,"211,500",500,-0.24%,"5,000","50,056","23,667",31.34,"185,258",38.34,4.73,
61,SK케미칼,"423,000","20,000",-4.51%,"5,000","49,666","11,741",21.96,"423,336",19.30,1.51,
62,SKC,"130,500","1,500",-1.14%,"5,000","49,418","37,868",8.07,"448,588",57.92,3.86,
63,오리온,"121,500","3,000",+2.53%,500,"48,036","39,536",42.02,"105,068",17.55,14.24,
64,한국금융지주,"85,200","1,800",+2.16%,"5,000","47,479","55,726",30.12,"335,062",7.80,18.14,
65,현대건설,"42,450",700,-1.62%,"5,000","47,271","111,356",18.67,"1,018,287",20.70,6.30,
66,이마트,"168,000","1,000",-0.59%,"5,000","46,831","27,876",31.44,"135,975",8.39,2.76,
67,유한양행,"66,300",800,+1.22%,"1,000","46,392","69,973",19.93,"343,703",25.54,2.43,
68,HMM,"14,050",350,+2.55%,"5,000","46,070","327,902",6.62,"3,262,600",-45.32,-55.46,
69,한미약품,"369,000","2,500",-0.67%,"2,500","44,569","12,078",14.02,"58,883","-3,582.52",7.30,
70,두산중공업,"11,800",250,+2.16%,"5,000","44,207","374,637",10.65,"4,700,207",-2.55,-14.73,
71,신풍제약,"79,800","2,000",-2.44%,500,"42,282","52,985",11.50,"1,783,478",782.35,2.57,
72,CJ대한통운,"184,000","4,500",-2.39%,"5,000","41,975","22,812",21.79,"92,334",33.17,1.41,
73,현대차2우B,"114,000",0,0.00%,"5,000","41,593","36,485",61.14,"141,941",27.24,N/A,
74,한진칼,"61,100",0,0.00%,"2,500","40,486","66,263",15.44,"49,971",-10.08,-17.56,
75,맥쿼리인프라,"10,850",0,0.00%,0,"40,383","372,192",14.20,"572,473",N/A,N/A,
76,현대중공업지주,"255,000","7,500",+3.03%,"5,000","40,286","15,799",17.70,"79,554",-77.25,2.20,
77,두산퓨얼셀,"60,400",500,-0.82%,100,"39,558","65,494",19.62,"1,359,192",177.13,N/A,
78,삼성중공업,"6,220",50,+0.81%,"5,000","39,186","630,000",14.99,"4,049,076",-3.14,-21.88,
79,동서,"38,500","4,350",+12.74%,500,"38,384","99,700",4.22,"1,614,995",27.76,10.53,
80,한국항공우주,"39,300",100,+0.26%,"5,000","38,308","97,475",14.21,"4,860,158",28.94,15.84,
81,키움증권,"149,000",500,-0.33%,"5,000","38,209","25,644",22.62,"202,402",6.58,16.97,
82,LG화학우,"492,000","2,000",+0.41%,"5,000","37,829","7,689",63.98,"57,221",45.97,N/A,
83,삼성카드,"31,700",950,+3.09%,"5,000","36,727","115,859",10.71,"121,295",8.91,5.04,
84,GS,"38,050",550,+1.47%,"5,000","35,354","92,915",19.10,"325,648",-41.27,6.26,
85,일진머티리얼즈,"76,200","1,300",-1.68%,500,"35,136","46,111",8.74,"1,950,501",79.05,8.52,
86,롯데지주,"33,450",300,+0.90%,200,"35,092","104,909",11.26,"96,775",-4.89,-5.21,
87,삼성증권,"39,100",850,+2.22%,"5,000","34,916","89,300",25.94,"392,176",7.42,8.15,
88,만도,"73,500","2,300",-3.03%,"1,000","34,513","46,957",25.31,"1,194,273",-62.24,7.55,
89,쌍용양회,"6,740",30,+0.45%,100,"33,960","503,860",2.85,"1,483,821",27.07,7.02,
90,NH투자증권,"11,850",100,+0.85%,"5,000","33,347","281,409",15.36,"1,132,308",5.76,9.12,
91,TIGER 200,"42,790",515,+1.22%,0,"33,205","77,600",0.87,"1,058,092",N/A,N/A,
92,더존비즈온,"109,500",500,-0.45%,500,"32,992","30,130",45.79,"140,988",68.05,18.78,
93,두산밥캣,"32,600",200,-0.61%,500,"32,681","100,249",22.12,"271,995",17.64,7.05,
94,GS건설,"40,300",650,-1.59%,"5,000","32,556","80,785",26.35,"1,202,521",10.54,11.79,
95,호텔신라,"82,000",700,+0.86%,"5,000","32,183","39,248",18.46,"342,388",-24.89,20.16,
96,에스원,"83,500","1,200",+1.46%,500,"31,729","37,999",56.30,"42,755",21.97,11.32,
97,롯데쇼핑,"110,500",500,+0.45%,"5,000","31,259","28,289",11.63,"87,836",-2.33,-8.14,
98,현대차우,"122,500",500,+0.41%,"5,000","29,837","24,357",55.88,"189,540",29.27,N/A,
99,한국가스공사,"32,000",250,+0.79%,"5,000","29,540","92,313",8.92,"282,402",-5.89,0.48,
100,씨에스윈드,"169,500","3,000",+1.80%,500,"29,299","17,286",8.85,"442,396",59.10,9.92,
101,CJ,"99,800",700,-0.70%,"5,000","29,119","29,177",19.74,"94,544",16.58,6.24,
102,BGF리테일,"162,500","1,000",+0.62%,"1,000","28,086","17,284",32.56,"25,699",21.47,26.46,
103,대우조선해양,"25,950",500,+1.96%,"5,000","27,842","107,291",9.27,"154,536",15.97,-1.22,
104,포스코인터내셔널,"22,050",550,-2.43%,"5,000","27,204","123,375",10.56,"9,128,869",12.16,7.06,
105,DB하이텍,"60,800",900,-1.46%,"5,000","26,994","44,399",22.73,"964,638",16.41,17.40,
106,DB손해보험,"38,050",800,+2.15%,500,"26,939","70,800",40.53,"132,887",4.85,6.92,
107,GS리테일,"34,750",500,+1.46%,"1,000","26,758","77,000",14.65,"214,567",15.84,6.25,
108,현대위아,"98,300","2,700",-2.67%,"5,000","26,733","27,195",10.20,"1,119,150",21.24,1.80,
109,대웅,"45,850",350,+0.77%,500,"26,658","58,142",5.04,"737,208",52.82,10.43,
110,현대오토에버,"126,500","3,000",-2.32%,500,"26,565","21,000",0.97,"95,388",46.22,11.71,
111,휠라홀딩스,"43,250","1,100",+2.61%,"1,000","26,275","60,752",48.25,"203,959",14.58,23.81,
112,대우건설,"6,200",10,+0.16%,"5,000","25,769","415,623",8.01,"4,512,068",13.39,8.80,
113,한화,"34,100",300,+0.89%,"5,000","25,561","74,959",19.67,"429,107",13.90,2.09,
114,메리츠증권,"3,725",80,+2.19%,"1,000","25,180","675,962",13.45,"1,903,251",4.66,15.06,
115,삼성엔지니어링,"12,650",50,+0.40%,"5,000","24,794","196,000",24.26,"775,901",9.71,24.62,
116,한솔케미칼,"217,500","13,500",+6.62%,"5,000","24,567","11,295",40.57,"129,457",20.93,20.88,
117,한화생명,"2,825",90,+3.29%,"5,000","24,536","868,530",7.21,"6,607,548",10.74,0.51,
118,OCI,"102,500",0,0.00%,"5,000","24,446","23,849",19.81,"268,253",-3.31,-26.20,
119,팬오션,"4,570",35,+0.77%,"1,000","24,430","534,570",11.34,"1,981,676",18.06,5.49,
120,하이트진로,"34,400","1,750",+5.36%,"5,000","24,126","70,134",8.07,"986,628",32.51,-3.86,
121,한샘,"102,500","6,100",+6.33%,"1,000","24,122","23,534",23.00,"176,323",35.99,7.32,
122,신세계,"238,000","2,500",+1.06%,"5,000","23,432","9,845",24.20,"52,256",-7.65,14.24,
123,DL이앤씨,"120,000","2,500",-2.04%,"5,000","23,230","19,359",26.82,"429,160",N/A,N/A,
124,제일기획,"20,000",200,+1.01%,200,"23,008","115,041",32.91,"369,489",16.95,15.09,
125,현대로템,"20,900",150,-0.71%,"5,000","22,811","109,142",4.90,"3,554,718",-11.87,-37.93,
126,LS,"69,700","2,100",+3.11%,"5,000","22,443","32,200",14.43,"271,545",-968.06,0.80,
127,한화에어로스페이스,"43,550",700,-1.58%,"5,000","22,049","50,630",18.29,"940,179",30.54,5.45,
128,KODEX 200선물인버스2X,"2,070",55,-2.59%,0,"21,046","1,016,700",1.40,"882,947,353",N/A,N/A,
129,종근당,"184,000","5,500",+3.08%,"2,500","21,024","11,426",12.28,"154,877",21.83,11.94,
130,한화시스템,"19,000",550,-2.81%,"5,000","20,944","110,230",5.53,"2,376,136",26.91,8.15,
131,오뚜기,"569,000","3,000",+0.53%,"5,000","20,894","3,672",16.46,"3,267",19.23,7.79,
132,효성티앤씨,"479,000","30,000",+6.68%,"5,000","20,730","4,328",15.73,"261,898",24.31,20.86,
133,녹십자홀딩스,"42,600",850,-1.96%,500,"20,034","47,028",6.71,"385,732",40.26,0.37,
134,한국앤컴퍼니,"21,450",300,+1.42%,500,"19,953","93,020",8.98,"1,088,971",17.90,4.71,
135,대한유화,"304,000","3,000",-0.98%,"5,000","19,760","6,500",20.89,"69,556",22.25,6.11,
136,피비파마,"32,800","4,000",+13.89%,0,"19,712","60,096",8.16,"41,088,500",N/A,N/A,
137,두산인프라코어,"9,110",210,+2.36%,"5,000","19,671","215,932",6.56,"10,527,971",11.75,11.59,
138,HDC현대산업개발,"29,100",450,-1.52%,"5,000","19,179","65,907",10.17,"1,019,591",7.22,20.30,
139,현대백화점,"81,800","3,500",+4.47%,"5,000","19,143","23,402",14.65,"374,459",16.76,4.64,
140,LS ELECTRIC,"63,600","1,500",+2.42%,"5,000","19,080","30,000",14.58,"131,749",24.51,7.82,
141,BNK금융지주,"5,770",140,+2.49%,"5,000","18,806","325,935",38.62,"1,523,060",3.91,7.07,
142,현대미포조선,"47,050",850,+1.84%,"5,000","18,793","39,942",13.15,"212,396",40.49,2.31,
143,효성,"88,900",500,+0.57%,"5,000","18,732","21,071",7.64,"369,408",-41.68,4.25,
144,F&F,"120,500","7,000",+6.17%,500,"18,557","15,400",9.81,"154,442",21.30,25.13,
145,KODEX 삼성그룹,"10,500",145,+1.40%,0,"18,490","176,100",0.03,"333,505",N/A,N/A,
146,현대엘리베이,"44,550",800,+1.83%,"5,000","18,183","40,815",26.67,"346,156",19.95,5.22,
147,현대해상,"20,100",0,0.00%,500,"17,969","89,400",36.33,"371,904",4.93,6.23,
148,KCC,"202,000",500,-0.25%,"5,000","17,951","8,886",11.85,"43,305",-641.27,-4.37,
149,대웅제약,"153,000","2,500",+1.66%,"2,500","17,727","11,587",4.91,"202,590","-1,069.93",4.34,
150,농심,"289,500","1,500",+0.52%,"5,000","17,609","6,083",17.20,"28,048",12.99,3.72,
151,KODEX 200TR,"13,820",155,+1.13%,0,"17,579","127,200",0.02,"84,112",N/A,N/A,
152,메리츠화재,"14,500",50,-0.34%,500,"17,491","120,625",10.15,"808,786",4.25,12.80,
153,KODEX 단기채권,"102,695",5,0.00%,0,"17,434","16,976",0.00,"15,630",N/A,N/A,
154,KODEX MSCI Korea TR,"13,815",70,+0.51%,0,"17,172","124,300",10.27,"623,585",N/A,N/A,
155,KODEX 레버리지,"27,545",675,+2.51%,0,"16,858","61,200",3.66,"47,545,173",N/A,N/A,
156,부광약품,"25,750","4,350",+20.33%,500,"16,696","64,838",4.88,"14,485,962","12,875.00",-2.00,
157,아이에스동서,"54,000","1,100",-2.00%,500,"16,682","30,893",5.24,"77,792",13.02,6.10,
158,TIGER MSCI Korea TR,"17,445",190,+1.10%,0,"16,416","94,100",0.00,"151,699",N/A,N/A,
159,영원무역,"36,400",850,+2.39%,500,"16,129","44,311",24.17,"211,079",9.85,9.82,
160,솔루스첨단소재,"50,800","2,500",+5.18%,100,"15,540","30,590",7.16,"522,785",146.82,N/A,
161,명신산업,"37,550",450,-1.18%,500,"15,313","40,779",1.97,"2,432,641",N/A,53.84,
162,KODEX 종합채권(AA-이상)액티브,"109,785",40,-0.04%,0,"15,020","13,681",0.00,"14,116",N/A,N/A,
163,세방전지,"106,500","4,500",-4.05%,500,"14,910","14,000",25.25,"340,519",20.17,7.70,
164,LG생활건강우,"709,000","5,000",-0.70%,"5,000","14,887","2,100",84.41,"3,922",15.89,N/A,
165,동원시스템즈,"57,900","3,300",+6.04%,"5,000","14,833","25,619",1.47,"347,805",32.90,8.69,
166,롯데정밀화학,"56,900","1,400",+2.52%,"5,000","14,680","25,800",22.73,"215,090",8.58,11.73,
167,코오롱인더,"53,100",400,-0.75%,"5,000","14,326","26,979",15.20,"763,238",9.51,1.58,
168,지누스,"97,100","1,500",-1.52%,500,"13,989","14,407",23.17,"63,615",19.60,26.32,
169,NHN,"71,400",500,+0.71%,500,"13,969","19,565",11.50,"58,134",47.57,0.78,
170,효성첨단소재,"309,500","15,500",+5.27%,"5,000","13,865","4,480",9.42,"327,235",-20.73,-19.74,
171,DL,"89,700","4,400",+5.16%,"5,000","13,851","15,441",32.99,"751,369",4.75,11.74,
172,LG전자우,"79,900",700,-0.87%,"5,000","13,732","17,186",38.61,"243,758",17.35,N/A,
173,에스엘,"28,450",450,+1.61%,500,"13,714","48,203",14.63,"393,433",30.56,7.25,
174,SK네트웍스,"5,490",50,+0.92%,"2,500","13,626","248,188",11.94,"3,528,468",-23.77,-5.85,
175,한올바이오파마,"25,900",550,+2.17%,500,"13,530","52,241",6.29,"1,899,780",68.70,14.90,
176,메리츠금융지주,"9,820",50,+0.51%,500,"13,160","134,011",8.34,"301,834",2.83,15.26,
177,KBSTAR 200,"43,075",560,+1.32%,0,"13,073","30,350",0.01,"392,136",N/A,N/A,
178,SK디스커버리,"66,700",200,+0.30%,"5,000","12,698","19,038",9.91,"132,223",4.38,11.52,
179,신세계인터내셔날,"176,500","2,000",+1.15%,"5,000","12,602","7,140",4.85,"51,398",27.95,12.98,
180,한전KPS,"27,900",400,+1.45%,200,"12,555","45,000",10.89,"142,266",10.36,14.98,
181,영진약품,"6,690",20,-0.30%,500,"12,236","182,893",4.18,"821,722","-1,672.50",4.43,
182,이노션,"60,800",700,-1.14%,500,"12,160","20,000",29.88,"93,245",18.93,9.88,
183,KODEX 인버스,"3,885",50,-1.27%,0,"11,865","305,400",2.79,"95,290,667",N/A,N/A,
184,한국콜마,"51,700",400,+0.78%,500,"11,830","22,881",28.09,"126,691",37.19,6.39,
185,다우기술,"26,300",100,-0.38%,500,"11,800","44,867",22.45,"340,123",4.23,14.62,
186,금호타이어,"4,045",100,+2.53%,"5,000","11,620","287,260",5.35,"585,826",-11.59,-3.30,
187,DGB금융지주,"6,860",270,+4.10%,"5,000","11,603","169,146",47.10,"1,102,139",3.50,7.31,
188,더블유게임즈,"62,000",600,-0.96%,500,"11,392","18,375",14.05,"107,770",10.63,18.93,
189,롯데칠성,"126,000","1,500",-1.18%,500,"11,309","8,975",10.45,"34,465",-12.92,-11.68,
190,JB금융지주,"5,710",180,+3.25%,"5,000","11,248","196,983",39.65,"476,354",3.25,10.36,
191,롯데관광개발,"16,200",200,+1.25%,500,"11,223","69,276",4.43,"258,697",-23.79,-4.77,
192,티와이홀딩스,"27,700",600,-2.12%,500,"11,128","40,172",7.04,"371,027",N/A,N/A,
193,태광산업,"999,000","1,000",+0.10%,"5,000","11,123","1,113",7.75,"2,167",10.72,4.34,
194,후성,"11,950",50,-0.42%,500,"11,067","92,607",4.69,"1,023,746",-217.27,3.85,
195,KODEX 코스닥150 레버리지,"15,900",100,+0.63%,0,"10,939","68,800",3.16,"13,186,217",N/A,N/A,
196,아시아나항공,"14,700",50,+0.34%,"5,000","10,939","74,412",20.07,"458,592",-1.27,-90.67,
197,KG동부제철,"10,900",50,-0.46%,"5,000","10,901","100,009",0.11,"137,742",13.23,-7.44,
198,코스맥스,"106,500","2,500",+2.40%,500,"10,703","10,050",23.98,"79,978",26.36,10.45,
199,LG상사,"27,500",800,-2.83%,"5,000","10,659","38,760",23.92,"390,766",7.49,2.49,
200,솔루엠,"24,850","1,200",-4.61%,500,"10,563","42,508",0.21,"6,814,825",24.53,86.98,
